mechanism,privacy_degree,explainability_degree,epsilon,delta,accuracy,utility_loss,privacy_gain,explanation_stability,explainability_gain,tradeoff_score
DP-SGD,0.0,0.0,inf,0.0003363547421667371,0.7777777777777778,0.14722222222222225,0.0,0.8225772961245355,0.0,0.0
DP-SGD,0.0,0.25,inf,0.0003363547421667371,0.7777777777777778,0.14722222222222225,0.0,0.8286788061238684,0.1766697176944636,0.08227826438551993
DP-SGD,0.0,0.5,inf,0.0003363547421667371,0.7777777777777778,0.14722222222222225,0.0,0.8258092557438901,0.35211589099079754,0.1639867021431916
DP-SGD,0.0,0.75,inf,0.0003363547421667371,0.7777777777777778,0.14722222222222225,0.0,0.8202249877069178,0.5246022317208828,0.2443166926513814
DP-SGD,0.0,1.0,inf,0.0003363547421667371,0.7777777777777778,0.14722222222222225,0.0,0.8173933752342717,0.6970549061025595,0.32463100413573276
DP-SGD,0.75,0.0,15.65854147838773,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.06386290839285526,0.8245439755987966,0.0,0.029665350995390832
DP-SGD,0.75,0.25,15.65854147838773,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.06386290839285526,0.8284086883945889,0.175461562472465,0.111170076789052
DP-SGD,0.75,0.5,15.65854147838773,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.06386290839285526,0.8257264322983456,0.34978689145971587,0.19214700380248464
DP-SGD,0.75,0.75,15.65854147838773,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.06386290839285526,0.8207523986402951,0.5215197533026875,0.27191968801341343
DP-SGD,0.75,1.0,15.65854147838773,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.06386290839285526,0.8155997890024261,0.690994265682611,0.350643332473765
DP-SGD,1.25,0.0,7.973305576427976,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.12541849680970057,0.8213409072094506,0.0,0.05825891464708672
DP-SGD,1.25,0.25,7.973305576427976,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.12541849680970057,0.8257209723666024,0.17489228928598174,0.13949920386380082
DP-SGD,1.25,0.5,7.973305576427976,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.12541849680970057,0.8229564961569285,0.3486135157331433,0.22019551550377264
DP-SGD,1.25,0.75,7.973305576427976,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.12541849680970057,0.8174574697107475,0.5194261005453708,0.29954071619074285
DP-SGD,1.25,1.0,7.973305576427976,0.0003363547421667371,0.7722222222222223,0.1527777777777778,0.12541849680970057,0.8114236160065001,0.6874561191166182,0.3775933699786771
DP-SGD,2.0,0.0,4.483457633883033,0.0003363547421667371,0.7694444444444445,0.15555555555555556,0.22304214328750555,0.8099205713534048,0.0,0.1034731592570902
DP-SGD,2.0,0.25,4.483457633883033,0.0003363547421667371,0.7694444444444445,0.15555555555555556,0.22304214328750555,0.8143689653480792,0.17192233712903895,0.18323094452313923
DP-SGD,2.0,0.5,4.483457633883033,0.0003363547421667371,0.7694444444444445,0.15555555555555556,0.22304214328750555,0.810586070884266,0.34224745215113456,0.2622477504612248
DP-SGD,2.0,0.75,4.483457633883033,0.0003363547421667371,0.7694444444444445,0.15555555555555556,0.22304214328750555,0.8057474562548046,0.5103067222947095,0.34021339124948125
DP-SGD,2.0,1.0,4.483457633883033,0.0003363547421667371,0.7694444444444445,0.15555555555555556,0.22304214328750555,0.8000564086689632,0.6756031895426801,0.4168973193542098
Autoencoder,0.0625,0.0,,,0.09722222222222222,0.19464032795123593,0.9375,0.5408932926285689,0.0,0.42717705860950117
Autoencoder,0.0625,0.25,,,0.09722222222222222,0.19464032795123593,0.9375,0.5400713371443,0.10873791874136775,0.47672409251590797
Autoencoder,0.0625,0.5,,,0.09722222222222222,0.19464032795123593,0.9375,0.5428029312919674,0.21857579536620336,0.526772328313786
Autoencoder,0.0625,0.75,,,0.09722222222222222,0.19464032795123593,0.9375,0.5458610835315313,0.32971087741285277,0.5774116429346001
Autoencoder,0.0625,1.0,,,0.09722222222222222,0.19464032795123593,0.9375,0.5476748383684157,0.44107522821774714,0.6281554251327776
Autoencoder,0.125,0.0,,,0.09722222222222222,0.19523318524544722,0.875,0.538833948405027,0.0,0.39859091320276613
Autoencoder,0.125,0.25,,,0.09722222222222222,0.19523318524544722,0.875,0.5398499703053493,0.10861333526199397,0.44806781433199633
Autoencoder,0.125,0.5,,,0.09722222222222222,0.19523318524544722,0.875,0.542630899557686,0.2183456703122183,0.4980544562011859
Autoencoder,0.125,0.75,,,0.09722222222222222,0.19523318524544722,0.875,0.545886549516833,0.3294835347540114,0.5486813623489111
Autoencoder,0.125,1.0,,,0.09722222222222222,0.19523318524544722,0.875,0.5475519888184074,0.44065166995391025,0.5993220578099124
Autoencoder,0.25,0.0,,,0.09722222222222222,0.1953131870644218,0.75,0.5408932926285689,0.0,0.3416369037544487
Autoencoder,0.25,0.25,,,0.09722222222222222,0.1953131870644218,0.75,0.5402090987324584,0.10867478449445575,0.39113999294227253
Autoencoder,0.25,0.5,,,0.09722222222222222,0.1953131870644218,0.75,0.5428640831813707,0.2184177844762059,0.4411296712389254
Autoencoder,0.25,0.75,,,0.09722222222222222,0.1953131870644218,0.75,0.5457570543206551,0.3293726285087979,0.49167136373472875
Autoencoder,0.25,1.0,,,0.09722222222222222,0.1953131870644218,0.75,0.5474117229172745,0.4404949946778754,0.5422893652225577
Autoencoder,0.5,0.0,,,0.8916666666666667,0.07815137019994714,0.5,0.9814260830338464,0.0,0.2405984507047208
Autoencoder,0.5,0.25,,,0.8916666666666667,0.07815137019994714,0.5,0.978000018988146,0.22539199436216203,0.3490563799942875
Autoencoder,0.5,0.5,,,0.8916666666666667,0.07815137019994714,0.5,0.9737983148042009,0.44884732110192654,0.45658239082489654
Autoencoder,0.5,0.75,,,0.8916666666666667,0.07815137019994714,0.5,0.9702147009582507,0.6707933195176735,0.5633821175427788
Autoencoder,0.5,1.0,,,0.8916666666666667,0.07815137019994714,0.5,0.9683114646273375,0.8926365968863935,0.6701324152111222
